Szak,URL,UL_LI_Info
Fordító és tolmács szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/fordito-es-tolmacs-szak,"50% az érettségi vizsgánmagyar nyelv és irodalomtantárgyból az írásbeli próbán szerzett jegy 25% az érettségi vizsgánromán nyelv és irodalomtantárgyból az írásbeli próbán szerzett jegyű 25% a legfrissebbidegen nyelvi tanulmányokangol/német vizsgaeredményével egyenértékű jegy"
Kertészmérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/kerteszmernoki-szak,100% az érettségi vizsga átlaga
Tájépítészet mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/tajepiteszet-szak,100% érettségi átlag
Kommunikáció és közkapcsolatok szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/kommunikacio-es-kozkapcsolatok-szak,"50% az érettségi vizsga átlaga 50% az érettségi vizsgánMagyar nyelv és irodalomtantárgyból vagyRomán nyelv és irodalomtantárgyból az írásbeli próbán szerzett jegy (amennyiben a jelentkező román tannyelvű gimnáziumban tanult)"
Közegészségügyi szolgáltatások és politikák szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/kozegeszsegugyi-szolgaltatasok-es-politikak-szak,100 % érettségi átlag
Informatika szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/informatika-szak,"25% az érettségi vizsga átlaga vagy az érettségi írásbeli vizsgánMatematikábólvagyInformatikábólvagyFizikábólelért legnagyobb jegy 75% az írásbeli felvételi vizsgánMatematikából,InformatikábólvagyFizikábólelért jegy"
Automatika és alkalmazott informatika mérnök szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/automatika-es-alkalmazott-informatika-mernok-szak,"25% az érettségi vizsga átlaga 75% az érettségi írásbeli vizsgán Matematikából, Informatikából vagy Fizikából elért jegy, VAGY az írásbeli felvételi vizsgán Matematikából, Informatikából vagy Fizikából elért jegyek közül a legnagyobb"
Gépészmérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/gepeszmernoki-szak,"25% az érettségi vizsga átlaga 75% az érettségi írásbeli vizsgán Matematikából, Informatikából vagy Fizikából elért jegy, VAGY az írásbeli felvételi vizsgán Matematikából, Informatikából vagy Fizikából elért jegyek közül a legnagyobb FIGYELEM: az érettségi vizsgaMatematika // Informatika // Fizikajegy esetében szorzót használunk (bővebben lásd afelvételi szabályzatot)"
Infokommunikációs hálózatok és rendszerek (Távközlés) mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/infokommunikacios-halozatok-es-rendszerek-tavkozles-szak,"25% az érettségi vizsga átlaga 75% az érettségi írásbeli vizsgánMatematikából, InformatikábólvagyFizikábólelért legnagyobb jegy (ha azEMTER-en 7-es jegy fölött teljesítessz, akkor a versenyen szerzett eredményeddel kiválthatod ezt)vagyaz írásbeli felvételi vizsgánMatematikából, InformatikábólvagyFizikábólelért jegyek közül a legnagyobb."
Mechatronika mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/mechatronika-szak,"25% az érettségi vizsga átlaga 75% az érettségi írásbeli vizsgán Matematikából, Informatikából vagy Fizikából elért jegy, VAGY az írásbeli felvételi vizsgán Matematikából, Informatikából vagy Fizikából elért jegyek közül a legnagyobb FIGYELEM: az érettségi vizsgaMatematika // Informatika // Fizikajegy esetében szorzót használunk (bővebben lásd afelvételi szabályzatot)"
Számítástechnika mérnöki szak,https://ms.sapientia.ro/hu/felveteli/alapkepzes/szamitastechnika-szak,"25% az érettségi vizsga átlaga 75% az érettségi írásbeli vizsgánMatematikából, InformatikábólvagyFizikábólelért jegy,VAGYaz írásbeli felvételi vizsgán Matematikából, Informatikából vagy Fizikából elért jegyek közül a legnagyobb FIGYELEM: az érettségi vizsgaMatematika // Informatika // Fizikajegy esetében szorzót használunk (bővebben lásd afelvételi szabályzatot)"
